name,address,yprice,dprice
YH빌리지,서울시 강남구 개포동,0,0
개포래미안포레스트,서울시 강남구 개포동,280000,430000
개포비버리하임(도시형),서울시 강남구 개포동,0,0
개포상지리츠빌,서울시 강남구 개포동,150000,690000
개포자이,서울시 강남구 개포동,160000,360000
개포자이르네,서울시 강남구 개포동,0,280000
개포자이프레지던스,서울시 강남구 개포동,300000,850000
개포현대(200동),서울시 강남구 개포동,70000,200000
개포현대2차(220동),서울시 강남구 개포동,60000,200000
개포현대5차,서울시 강남구 개포동,0,195000
개포현대6차,서울시 강남구 개포동,75000,250000
경남,서울시 강남구 개포동,130000,365000
그루(주상복합),서울시 강남구 개포동,0,0
노블레스빌(도시형),서울시 강남구 개포동,0,0
뉴현대파크빌,서울시 강남구 개포동,0,0
대청,서울시 강남구 개포동,52900,160000
대치2단지,서울시 강남구 개포동,46000,145000
더샵그린,서울시 강남구 개포동,0,0
더샵트리에,서울시 강남구 개포동,140000,270000
디에이치아너힐즈,서울시 강남구 개포동,300000,440000
래미안블레스티지,서울시 강남구 개포동,230000,470000
런던빌개포,서울시 강남구 개포동,0,0
렉스힐(주상복합),서울시 강남구 개포동,0,0
리더스,서울시 강남구 개포동,55000,0
새롬,서울시 강남구 개포동,50000,110000
쌍용개포(주상복합),서울시 강남구 개포동,0,0
에버그린(주상복합),서울시 강남구 개포동,45000,0
예가풍경채(도시형),서울시 강남구 개포동,0,0
우성3차,서울시 강남구 개포동,120000,350000
우성6차,서울시 강남구 개포동,48000,220000
우성8차,서울시 강남구 개포동,72000,250000
우찬현대(101),서울시 강남구 개포동,0,0
우찬현대(102),서울시 강남구 개포동,0,0
우찬현대(103),서울시 강남구 개포동,0,0
포이벨리,서울시 강남구 개포동,48000,100000
한림,서울시 강남구 개포동,0,100000
현대1차,서울시 강남구 개포동,95000,350000
현대2차,서울시 강남구 개포동,120000,400000
현대3차,서울시 강남구 개포동,170000,395000
현대빌라트,서울시 강남구 개포동,0,185000
N168(도시형),서울시 강남구 논현동,0,0
강남파라곤(주상복합),서울시 강남구 논현동,90000,210000
거평프리젠,서울시 강남구 논현동,27000,58000
경남논현,서울시 강남구 논현동,100000,160000
골든캐슬,서울시 강남구 논현동,0,0
그랑디오스,서울시 강남구 논현동,0,0
기린힐스(도시형),서울시 강남구 논현동,0,0
꿈꾸지오(도시형),서울시 강남구 논현동,0,0
논현e-편한세상,서울시 강남구 논현동,70000,230000
논현대우멤버스카운티,서울시 강남구 논현동,0,0
논현더라움,서울시 강남구 논현동,49000,58000
논현동부센트레빌,서울시 강남구 논현동,120000,250000
논현동양파라곤,서울시 강남구 논현동,250000,490000
논현두산위브1단지,서울시 강남구 논현동,78000,200000
논현두산위브2단지,서울시 강남구 논현동,85000,220000
논현라폴리움,서울시 강남구 논현동,0,0
논현멤버스카운티,서울시 강남구 논현동,0,0
논현베르빌,서울시 강남구 논현동,0,135000
논현브라운스톤로얄스위트,서울시 강남구 논현동,0,0
논현빌라트,서울시 강남구 논현동,0,0
논현신동아파밀리에,서울시 강남구 논현동,85000,250000
논현아이파크(주상복합),서울시 강남구 논현동,95000,180000
논현아테나니케,서울시 강남구 논현동,0,200000
논현아트빌,서울시 강남구 논현동,65000,83000
논현아펠바움1차,서울시 강남구 논현동,0,580000
논현아펠바움2차,서울시 강남구 논현동,0,0
논현월드메르디앙,서울시 강남구 논현동,72000,138000
논현웰스톤(주상복합),서울시 강남구 논현동,70000,147000
논현테크노빌,서울시 강남구 논현동,75000,290000
논현파크빌(도시형),서울시 강남구 논현동,17000,0
"논현팰리스(민간임대,도시형)",서울시 강남구 논현동,0,0
논현펜트힐캐스케이드(도시형),서울시 강남구 논현동,150000,190000
논현프라임(192-3),서울시 강남구 논현동,85000,0
논현한가람,서울시 강남구 논현동,0,215000
논현한진로즈힐,서울시 강남구 논현동,72000,150000
논현한화꿈에그린,서울시 강남구 논현동,80000,135000
논현한화꿈에그린2차,서울시 강남구 논현동,85000,160000
논현힐스빌5차,서울시 강남구 논현동,0,0
논현힐스빌6차,서울시 강남구 논현동,250000,300000
더그레이스,서울시 강남구 논현동,0,0
더원센트럴(주상복합),서울시 강남구 논현동,0,52000
더케이(도시형),서울시 강남구 논현동,0,0
더클래식논현(도시형),서울시 강남구 논현동,0,0
동광팰리스(도시형),서울시 강남구 논현동,49000,67000
동현,서울시 강남구 논현동,105000,300000
"동화(민간임대,도시형)",서울시 강남구 논현동,0,0
두영,서울시 강남구 논현동,0,105000
라디안,서울시 강남구 논현동,0,0
라이헤스빌,서울시 강남구 논현동,0,0
로체샤르캐슬,서울시 강남구 논현동,95000,140000
리더스빌,서울시 강남구 논현동,85000,0
리츠하우스,서울시 강남구 논현동,500000,0
마블하우스,서울시 강남구 논현동,125000,180000
마일스디오빌(주상복합),서울시 강남구 논현동,40000,45000
베스티움(도시형),서울시 강남구 논현동,0,0
벨러스빌,서울시 강남구 논현동,0,0
보노체아(도시형),서울시 강남구 논현동,0,0
브라이튼N40(민간임대),서울시 강남구 논현동,0,0
블레스홈(도시형),서울시 강남구 논현동,0,0
비쥬힐,서울시 강남구 논현동,0,0
삼성빌라트,서울시 강남구 논현동,85000,150000
서진플로렌스190(도시형),서울시 강남구 논현동,0,0
세호시티라이프(주상복합),서울시 강남구 논현동,0,49000
스위트캐슬,서울시 강남구 논현동,0,0
스위트케슬레지던스,서울시 강남구 논현동,0,0
신동아,서울시 강남구 논현동,0,0
쌍용,서울시 강남구 논현동,63000,145000
아나하(도시형),서울시 강남구 논현동,285000,380000
아크로힐스논현,서울시 강남구 논현동,165000,310000
알파임하우스Ⅱ,서울시 강남구 논현동,400000,600000
애플타운(주상복합),서울시 강남구 논현동,0,0
엔트라움논현(도시형),서울시 강남구 논현동,0,0
예원베스트빌,서울시 강남구 논현동,0,0
요진보네르,서울시 강남구 논현동,0,0
우림빌(도시형),서울시 강남구 논현동,0,0
우림스타빌(도시형),서울시 강남구 논현동,0,0
우민,서울시 강남구 논현동,0,130000
우성,서울시 강남구 논현동,0,0
월드노블레스빌,서울시 강남구 논현동,0,0
월드쉐르빌,서울시 강남구 논현동,60000,0
은탑리더스카운티,서울시 강남구 논현동,0,205000
이산,서울시 강남구 논현동,0,79000
이움,서울시 강남구 논현동,0,0
제이빌,서울시 강남구 논현동,0,100000
지고하임,서울시 강남구 논현동,0,137000
진흥펠리체(도시형),서울시 강남구 논현동,0,0
청학,서울시 강남구 논현동,55000,165000
케럿스테이트,서울시 강남구 논현동,128000,180000
케이씨빌,서울시 강남구 논현동,90000,160000
테크노빌라트,서울시 강남구 논현동,75000,95000
토미빌(228-9),서울시 강남구 논현동,100000,230000
토미하우스(도시형),서울시 강남구 논현동,0,0
펜트힐루논현(도시형),서울시 강남구 논현동,80000,135000
프라임(196-4),서울시 강남구 논현동,90000,200000
프라임(80-13),서울시 강남구 논현동,0,150000
"학동역이안테라디움(민간임대,도시형)",서울시 강남구 논현동,0,0
학동참진,서울시 강남구 논현동,0,0
한양빌라트,서울시 강남구 논현동,0,180000
한양수자인어반게이트(도시형),서울시 강남구 논현동,21000,35000
현대넥서스(261-7),서울시 강남구 논현동,130000,0
현대넥서스(261-8),서울시 강남구 논현동,0,0
현대인텔렉스(주상복합),서울시 강남구 논현동,280000,0
휴먼스페이스(주상복합),서울시 강남구 논현동,0,0
힐스빌7차,서울시 강남구 논현동,0,0
힐타워,서울시 강남구 논현동,0,170000
힐튼빌(도시형),서울시 강남구 논현동,0,0
S-타워(주상복합),서울시 강남구 대치동,0,0
개포우성1차,서울시 강남구 대치동,190000,550000
개포우성2차,서울시 강남구 대치동,170000,450000
노빌리티빌리지,서울시 강남구 대치동,0,0
대치SK뷰,서울시 강남구 대치동,190000,390000
대치대우아이빌멤버스4차(주상복합),서울시 강남구 대치동,31000,54500
대치대우아이빌명문가(주상복합),서울시 강남구 대치동,28000,34000
대치더블유타워(도시형),서울시 강남구 대치동,0,0
대치더클래스,서울시 강남구 대치동,0,220000
대치롯데캐슬리베,서울시 강남구 대치동,180000,320000
대치삼성1차,서울시 강남구 대치동,150000,320000
대치삼성2차,서울시 강남구 대치동,150000,0
대치삼성3차,서울시 강남구 대치동,150000,290000
대치상지리츠빌카일룸,서울시 강남구 대치동,550000,0
대치아이파크,서울시 강남구 대치동,270000,450000
대치우정에쉐르1(주상복합),서울시 강남구 대치동,60000,100000
대치우정에쉐르2(주상복합),서울시 강남구 대치동,0,110000
대치주성,서울시 강남구 대치동,115000,0
대치타워,서울시 강남구 대치동,0,115000
대치풍림아이원1차,서울시 강남구 대치동,78000,180000
대치풍림아이원2차,서울시 강남구 대치동,0,0
대치풍림아이원3차,서울시 강남구 대치동,0,260000
대치풍림아이원4차,서울시 강남구 대치동,140000,230000
대치하나빌,서울시 강남구 대치동,200000,280000
대치한신휴플러스,서울시 강남구 대치동,78000,190000
대치현대,서울시 강남구 대치동,170000,300000
대치효성,서울시 강남구 대치동,90000,194000
더힐하우스(도시형),서울시 강남구 대치동,60000,0
"동민맥스빌(A동,주상복합)",서울시 강남구 대치동,80000,150000
동민맥스빌(B동),서울시 강남구 대치동,85000,0
동부센트레빌,서울시 강남구 대치동,290000,520000
동양,서울시 강남구 대치동,80000,0
래미안대치팰리스1단지,서울시 강남구 대치동,280000,510000
래미안대치팰리스2단지,서울시 강남구 대치동,300000,550000
래미안대치하이스턴,서울시 강남구 대치동,160000,310000
로프트아파트먼트대치(도시형),서울시 강남구 대치동,50000,120000
롯데캐슬,서울시 강남구 대치동,130000,300000
르엘대치,서울시 강남구 대치동,170000,300000
메트로,서울시 강남구 대치동,60000,0
미소시티,서울시 강남구 대치동,0,0
삼환SOGOOD(주상복합),서울시 강남구 대치동,90000,200000
"선경1,2차",서울시 강남구 대치동,165000,500000
선릉역대우아이빌5차(주상복합),서울시 강남구 대치동,24500,42000
선릉역풍림아이원레몬(주상복합),서울시 강남구 대치동,69000,0
세연파크뷰,서울시 강남구 대치동,78000,0
세영팔래스,서울시 강남구 대치동,89000,160000
스카이써밋,서울시 강남구 대치동,120000,0
스톤빌리지대치2차(도시형),서울시 강남구 대치동,0,0
스톤빌리지대치3차(도시형),서울시 강남구 대치동,0,0
스톤빌리지대치4차(도시형),서울시 강남구 대치동,0,85000
아름빌,서울시 강남구 대치동,39000,120000
아크로빌,서울시 강남구 대치동,0,170000
아티스톤(주상복합),서울시 강남구 대치동,100000,167280
우정에쉐르3,서울시 강남구 대치동,0,0
월드빌,서울시 강남구 대치동,0,0
청암빌라트,서울시 강남구 대치동,0,250000
청원,서울시 강남구 대치동,95000,150000
테헤란로대우아이빌(주상복합),서울시 강남구 대치동,57000,110000
포스코더샵,서울시 강남구 대치동,170000,380000
하이캐슬,서울시 강남구 대치동,130000,185000
"한보미도맨션1,2차",서울시 강남구 대치동,200000,540000
